merchant_key,display_name,category,subcategory,tags,source,confidence,last_updated
CHINOSMEX,CHINOS MEXICAN GRILL,Dining,Restaurant,"mexican,dining,food,restaurant,takeout",azure,0.95,2025-09-11T04:11:06.624744
ZARA,ZARA,Shopping,Clothing Retail,"fashion,clothing,retail,shopping,apparel",azure,0.95,2025-09-11T04:11:06.624744
SOUTHERN NV HEALTH DIST,SOUTHERN NEVADA HEALTH DISTRICT,Health,Public Health Services,"health,services,public,southern nevada,district",azure,0.95,2025-09-11T04:11:06.624744
JIU JITSU FEDERATIO,JIU JITSU FEDERATION,Sports,Martial Arts,"jiu jitsu,training,sports,membership,federation",azure,0.95,2025-09-11T04:11:06.624744
UFC GYM,UFC GYM,Health,Fitness Center,"gym,fitness,health,training,exercise",azure,0.95,2025-09-11T04:11:06.624744
WITHDRAWAL ALLY TYPE: ALLY PAYMT ID: CO: ALLY NAME: KOSISONNA UGOCHUKW %% ACH ECC WEB %% ACH TRACE,ALLY PAYMENT,Transfers,ACH Transfer,"payment,transfer,ally,banking,finance",azure,0.95,2025-09-11T04:11:06.624744
POS SIGNATURE PURCHASE USING TOKEN,SIGNATURE PURCHASE,Misc,Payment Processing,"payment,transaction,token,signature,processing",azure,0.95,2025-09-11T04:11:06.624744
WITHDRAWAL AMEX EPAYMENT TYPE: ACH PMT ID: DATA: ER AM CO: AMEX EPAYMENT NAME: KOSISONNA UGOCHUKWU %% ACH ECC WEB %% ACH TRACE,KOSISONNA UGOCHUKWU,Transfers,ACH Payment,"withdrawal,payment,amex,transfer,ach",azure,0.95,2025-09-11T04:11:06.624744
WEALTHFRONT,WEALTHFRONT,Investments,Robo-Advisor,"investing,finance,savings,wealth,management",azure,0.95,2025-09-11T04:11:06.624744
WITHDRAWAL SIGNATURE BASE APPLE CASH SENT MONEY 1INFINITELOOP CA DATE %% CARD,APPLE CASH,Transfers,Digital Wallet,"apple,cash,transfer,digital,wallet",azure,0.95,2025-09-11T04:11:06.624744
PLAID,PLAID,Finance,Financial Services,"finance,api,banking,data,technology",azure,0.95,2025-09-11T04:11:06.624744
DILOHOME,DILO HOME,Shopping,Home Goods,"home,decor,furniture,shopping,lifestyle",azure,0.95,2025-09-11T04:11:06.624744
PLAID TECHNOLOGIES INC,PLAID,Finance,Financial Services,"fintech,payments,api,banking,integration",azure,0.95,2025-09-11T04:11:06.624744
ARCO,ARCO,Gas,Gas Station,"fuel,gas,automotive,convenience,service",azure,0.95,2025-09-11T04:11:06.624744
POS SIGNATURE PURCHASE,SIGNATURE PURCHASE,Shopping,Retail,"shopping,retail,purchase,signature,transactions",azure,0.95,2025-09-11T04:11:06.624744
DEPOSIT KOSISONNA UGOC TYPE: BANK XFER ID: CO: APPLE CASH NAME: KOSISONNA UGOC %% ACH ECC WEB %% ACH TRACE,APPLE CASH,Transfers,Bank Transfer,"apple,cash,transfer,bank,payment",azure,0.95,2025-09-11T04:11:06.624744
GEICO,GEICO,Insurance,Auto Insurance,"insurance,auto,geico,coverage,premium",azure,0.95,2025-09-11T04:11:06.624744
POS SIGNATURE PURCHASE USING APPLE,APPLE,Shopping,Electronics,"apple,electronics,shopping,technology,gadgets",azure,0.95,2025-09-11T04:11:06.624744
OD PRIVILEGE FEE %% ACH ECC PPD %% ACH TRACE,OVERDRAFT PRIVILEGE FEE,Fees,Bank Fees,"overdraft,banking,fees,finance,charges",azure,0.95,2025-09-11T04:11:06.624744
PETAL,PETAL CARD,Finance,Credit Card,"credit,finance,card,spending,rewards",azure,0.95,2025-09-11T04:11:06.624744
TARGET,TARGET,Shopping,Retail,"retail,shopping,clothing,home,groceries",azure,0.95,2025-09-11T04:11:06.624744
ACH PAYMENT FROM ACCOUNT ENDING,ACH PAYMENT,Transfers,Bank Transfer,"payment,transfer,banking,automated,finance",azure,0.95,2025-09-11T04:11:06.624744
INTERNET PAYMENT THANK YOU,INTERNET PAYMENT,Utilities,Internet Service,"payment,internet,utilities,service,online",azure,0.95,2025-09-11T04:11:06.624744
WITHDRAWAL CHASE CREDIT CRD TYPE: AUTOPAY ID: CO: CHASE CREDIT CRD %% ACH ECC PPD %% ACH TRACE,CHASE CREDIT CARD,Transfers,Credit Card Payment,"chase,credit,payment,autopay,finance",azure,0.95,2025-09-11T04:11:06.624744
ROOT INSURANCE,ROOT INSURANCE,Insurance,Auto Insurance,"insurance,auto,finance,savings,mobile",azure,0.95,2025-09-11T04:11:06.624744
S&S,S&S,Groceries,Supermarket,"grocery,shopping,food,supermarket,essentials",azure,0.95,2025-09-11T04:11:06.624744
PAYMENT HOME BANKING TRANSFER FROM SHARE INTERNET ACCESS :,HOME BANKING TRANSFER,Transfers,Bank Transfer,"banking,transfer,internet,finance,payment",azure,0.95,2025-09-11T04:11:06.624744
WITHDRAWAL HOME BANKING TRANSFER TO LOAN INTERNET ACCESS :,HOME BANKING TRANSFER,Transfers,Loan Payment,"banking,transfer,loan,payment,internet",azure,0.95,2025-09-11T04:11:06.624744
FACTORY,FACTORY OUTLET,Shopping,Retail,"discount,clothing,outlet,shopping,bargain",azure,0.95,2025-09-11T04:11:06.624744
DEPOSIT CASH APP KOISE UGO CASH OAKLAND CA DATE %% CARD,CASH APP DEPOSIT,Income,Cash Deposit,"cash,deposit,income,app,financial",azure,0.95,2025-09-11T04:11:06.624744
WITHDRAWAL AMEX EPAYMENT TYPE: ACH PMT ID: DATA: AM CO: AMEX EPAYMENT NAME: KOSISONNA UGOCHUKWU %% ACH ECC WEB %% ACH TRACE,KOSISONNA UGOCHUKWU,Transfers,ACH Payment,"withdrawal,payment,amex,transfer,ach",azure,0.95,2025-09-11T04:11:06.624744
THAILITED,THAI LITED,Dining,Restaurant,"thai,food,dining,restaurant,cuisine",azure,0.95,2025-09-11T04:11:06.624744
FLOSPORTS,FLOSPORTS,Subscriptions,Streaming Service,"sports,streaming,subscription,entertainment,video",azure,0.95,2025-09-11T04:11:06.624744
BASE DMV,BASE DMV,Fees,Vehicle Registration,"dmv,vehicle,registration,fees,government",azure,0.95,2025-09-11T04:11:06.624744
