Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/08/2025,06/10/2025,AMAZON MKTPLACE PMTS,Shopping,Return,10.83,
06/09/2025,06/10/2025,AMAZON MKTPL*NH9KC4YH2,Shopping,Sale,-172.32,
06/08/2025,06/09/2025,AMAZON MKTPL*NH03M4JG1,Shopping,Sale,-31.08,
06/08/2025,06/09/2025,AMAZON MKTPLACE PMTS,Shopping,Return,16.04,
06/07/2025,06/08/2025,AMAZON MKTPL*N68UC0R70,Shopping,Sale,-65.91,
06/04/2025,06/05/2025,AMAZON MKTPL*NH0WA0LZ2,Shopping,Sale,-24.16,
06/02/2025,06/03/2025,AMAZON MKTPL*N64GU4O60,Shopping,Sale,-21.66,
06/01/2025,06/02/2025,AMAZON MKTPL*NN5Q84UH0,Shopping,Sale,-12.95,
06/01/2025,06/02/2025,AMAZON MKTPL*N658R78B2,Shopping,Sale,-15.43,
05/29/2025,05/30/2025,AMAZON MKTPL*NN16275P1,Shopping,Sale,-8.12,
05/26/2025,05/27/2025,AMAZON MKTPL*NN0H28KA2,Shopping,Sale,-37.87,
05/26/2025,05/27/2025,Amazon.com*NN9FJ67Z2,Shopping,Sale,-18.64,
05/26/2025,05/26/2025,AMAZON MKTPL*NZ16I5W21,Shopping,Sale,-31.79,
05/25/2025,05/26/2025,WHOLEFDS TYA 10424,Groceries,Sale,-7.98,
05/24/2025,05/25/2025,AMAZON MKTPL*NZ4XS62W1,Shopping,Sale,-8.66,
05/23/2025,05/25/2025,WHOLEFDS TYA 10424,Groceries,Sale,-7.78,
05/23/2025,05/25/2025,AMAZON MKTPLACE PMTS,Shopping,Return,9.26,
05/23/2025,05/25/2025,AMAZON MKTPLACE PMTS,Shopping,Return,135.46,
05/21/2025,05/22/2025,AMAZON MKTPL*NZ4HR93C1,Shopping,Sale,-37.92,
05/21/2025,05/21/2025,AUTOMATIC PAYMENT - THANK,,Payment,125.60,
05/20/2025,05/21/2025,AMAZON MKTPL*NW3LW5IT0,Shopping,Sale,-14.49,
05/11/2025,05/12/2025,AMAZON PRIME*NI5QK3VZ1,Bills & Utilities,Sale,-7.49,
05/09/2025,05/11/2025,AMAZON MKTPL*NI6NO6N50,Shopping,Sale,-19.54,
05/09/2025,05/11/2025,AMAZON MKTPL*NW6VL2L92,Shopping,Sale,-281.23,
05/08/2025,05/09/2025,AMAZON MKTPL*NI4VX4OL0,Shopping,Sale,-21.62,
04/23/2025,04/24/2025,WHOLEFDS WIN 10110,Groceries,Sale,-6.11,
04/21/2025,04/21/2025,AUTOMATIC PAYMENT - THANK,,Payment,106.60,
04/11/2025,04/13/2025,AMAZON PRIME*XL60R1L43,Bills & Utilities,Sale,-7.49,
04/10/2025,04/11/2025,AMAZON MKTPL*O70Y85KS3,Shopping,Sale,-13.86,
04/03/2025,04/04/2025,WHOLEFDS WIN 10110,Groceries,Sale,-18.23,
04/02/2025,04/03/2025,AMAZON MKTPL*H18899RO3,Shopping,Sale,-79.91,
03/23/2025,03/24/2025,WHOLEFDS WIN 10110,Groceries,Sale,-10.51,
03/21/2025,03/21/2025,AUTOMATIC PAYMENT - THANK,,Payment,118.77,
03/20/2025,03/21/2025,AMAZON MKTPL*7P5V28ER3,Shopping,Sale,-10.15,
03/18/2025,03/19/2025,AMAZON MKTPL*B11SR3EF3,Shopping,Sale,-23.53,
03/11/2025,03/12/2025,AMAZON PRIME*XC2B19AC3,Bills & Utilities,Sale,-7.49,
03/11/2025,03/12/2025,WHOLEFDS TYA 10424,Groceries,Sale,-10.99,
