transaction_id,item_id,account_id,date,name,merchant_name,amount,pending
pBD4gnp8xrUGAMVWrNRGUygKmV1rnpspZqK4Q,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-07-18,Uber 063015 SF**POOL**,Uber,5.4,False
ozDabnNg3KhjmPE6KMbjfjgB16aMyXcodPKaQ,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-07-16,United Airlines,United Airlines,-500.0,False
ggXqpWZeyRHBAMnPKgwBIGzZ6nD9BAIExGMbR,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-07-15,McDonald's,McDonald's,12.0,False
8rmX6EVL1nsv9kJ8AalvFbpKWnQkyrFWbRrA3,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-07-15,Starbucks,Starbucks,4.33,False
EQKX7DExyqhbAoxm8pjbIaEgeW6mPJC4qMEwn,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-07-14,SparkFun,FUN,89.4,False
WxMnJDgEQ1hBQDxaW3dBIKlw5G6VbEi6k54rk,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-07-01,Uber 072515 SF**POOL**,Uber,6.33,False
APVX1EbrGDhyJpr3e8ayIQVa6WqlZBu9Qko7v,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-06-18,Uber 063015 SF**POOL**,Uber,5.4,False
GMzXwDBalrfXl19PEjeXH3vymAxMwgF65Lnle,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-06-16,United Airlines,United Airlines,-500.0,False
nrDd4n1okqsP49yDqVbPsPg7y64eomtAjXGdd,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-06-15,McDonald's,McDonald's,12.0,False
bMXnpWQ4AbflAkEeg61lFlJ985ye4ncmXJ35l,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-06-15,Starbucks,Starbucks,4.33,False
mKDxJnZpzlUNaxoMl3bNcGxKbo4m19IgDlAbo,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-06-14,SparkFun,FUN,89.4,False
y7K1dnzxQPfGnREymMpGUVqpE783xlF4zZD93,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-06-01,Uber 072515 SF**POOL**,Uber,6.33,False
9z7XkENpLbhkg57yJpqkSpvPbnQVmlC4p3EL8,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-05-19,Uber 063015 SF**POOL**,Uber,5.4,False
vNDQBn9zjaHmeJ1pbZ7mIwv417JzNaCqMPXjm,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-05-17,United Airlines,United Airlines,-500.0,False
RKMnBDXLN7UBN4KzqErBI4AkyRMEqJcagLGKE,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-05-16,McDonald's,McDonald's,12.0,False
6q6DXENMZAIe69bkDv8eswmzag3DR8C8BqxWq,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-05-16,Starbucks,Starbucks,4.33,False
XdGJoWElZLTjZJA4xqmjfv9AmZ5PXBubmrx4M,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-05-15,SparkFun,FUN,89.4,False
DeqXoDj3mlhDevWmJRPDSL91mG8WPNf35rXgm,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-05-02,Uber 072515 SF**POOL**,Uber,6.33,False
V3LJpDG8eMfLepAd89nLTKgz6lRGVBi9Bvn46,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-04-19,Uber 063015 SF**POOL**,Uber,5.4,False
wPlZ3m9B74hp1MoEA4Qpsp8y1gLDJjCPbalvr,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-04-17,United Airlines,United Airlines,-500.0,False
5lb87mGZQWhwnM7bpKkwSAzWaGgKDRF51Epo5,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-04-16,McDonald's,McDonald's,12.0,False
JpxXkDRPr3HdrNPeqQMdI5zqVpaZJdcBDG5EQ,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-04-16,Starbucks,Starbucks,4.33,False
klDBwWj1KVh9xkEQg7e9S9gLJEMwaBiLl38Bz,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-04-15,SparkFun,FUN,89.4,False
lkD37n5LrwI4dbEABN94C4ezxM7wdXcpV5ryr,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-04-02,Uber 072515 SF**POOL**,Uber,6.33,False
q3DklypEdzfeJPwaZzNesEQvJ6LVM4Sgz5Vao,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-03-20,Uber 063015 SF**POOL**,Uber,5.4,False
KodXRD9jzxcazNjQEG1aT6NlPkXazKiRxjmPK,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-03-18,United Airlines,United Airlines,-500.0,False
rxDPqnylaBhQjPENeM7QTQAW7zBPMmu7eXDxG,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-03-17,McDonald's,McDonald's,12.0,False
zerLJXxdZjh8VJbpq4X8i9MZgjDPmBil5Kg9j,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-03-17,Starbucks,Starbucks,4.33,False
vNDQBn9zjaHmeJ1pbZ7mIwv417JzNaCqMPXjV,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-03-16,SparkFun,FUN,89.4,False
RKMnBDXLN7UBN4KzqErBI4AkyRMEqJcagLGK1,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-03-03,Uber 072515 SF**POOL**,Uber,6.33,False
6q6DXENMZAIe69bkDv8eswmzag3DR8C8BqxWM,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-02-18,Uber 063015 SF**POOL**,Uber,5.4,False
XdGJoWElZLTjZJA4xqmjfv9AmZ5PXBubmrx47,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-02-16,United Airlines,United Airlines,-500.0,False
DeqXoDj3mlhDevWmJRPDSL91mG8WPNf35rXgK,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-02-15,McDonald's,McDonald's,12.0,False
V3LJpDG8eMfLepAd89nLTKgz6lRGVBi9Bvn4G,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-02-15,Starbucks,Starbucks,4.33,False
wPlZ3m9B74hp1MoEA4Qpsp8y1gLDJjCPbalve,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-02-14,SparkFun,FUN,89.4,False
5lb87mGZQWhwnM7bpKkwSAzWaGgKDRF51EpvN,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-02-01,Uber 072515 SF**POOL**,Uber,6.33,False
JpxXkDRPr3HdrNPeqQMdI5zqVpaZJdcBDG5Aa,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-01-19,Uber 063015 SF**POOL**,Uber,5.4,False
klDBwWj1KVh9xkEQg7e9S9gLJEMwaBiLl389k,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-01-17,United Airlines,United Airlines,-500.0,False
lkD37n5LrwI4dbEABN94C4ezxM7wdXcpV5r4k,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-01-16,McDonald's,McDonald's,12.0,False
q3DklypEdzfeJPwaZzNesEQvJ6LVM4Sgz5VE1,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-01-16,Starbucks,Starbucks,4.33,False
KodXRD9jzxcazNjQEG1aT6NlPkXazKiRxjmyb,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-01-15,SparkFun,FUN,89.4,False
rxDPqnylaBhQjPENeM7QTQAW7zBPMmu7eXDQ6,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-01-02,Uber 072515 SF**POOL**,Uber,6.33,False
zerLJXxdZjh8VJbpq4X8i9MZgjDPmBil5KgVm,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-12-20,Uber 063015 SF**POOL**,Uber,5.4,False
BjZXwbdznVTWM6zxB54WTboaGEQXjqF4b1LBg,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-12-18,United Airlines,United Airlines,-500.0,False
3Rb5PAwe78IwXadJBW8wSJDnPVRla7fZDL8AV,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-12-17,McDonald's,McDonald's,12.0,False
xjqMxnw3eNToJMVpwAmoTnGXm6v75Ai63ZA1M,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-12-17,Starbucks,Starbucks,4.33,False
dLXbg6aPnyHGn5oajqvGUGzgyo7lkXIJjq6kz,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-12-16,SparkFun,FUN,89.4,False
aZXDkbyaWnhQWEA3mj5QTdRN8DgA3VfZBveN5,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-12-03,Uber 072515 SF**POOL**,Uber,6.33,False
4Rbm65jQeEIrZ6pnjq8rfEVM7vob4qSJQK3oy,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-11-20,Uber 063015 SF**POOL**,Uber,5.4,False
NENXqDbQx4texLWlZmoeskVyDpWMGaHy4z734,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-11-18,United Airlines,United Airlines,-500.0,False
PlWVrDXMaPhoadl9v8noTvLNjpMBxauoPnN14,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-11-17,McDonald's,McDonald's,12.0,False
jW5zpnXMqDSGexypBJbGUGJwPA1MkeI6VjGEX,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-11-17,Starbucks,Starbucks,4.33,False
7KbkPD31MGUlgPX9mW8lFa37RBEwGACdoa1ZW,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-11-16,SparkFun,FUN,89.4,False
epXn6WQjk9HrJM5vkKorfrVKD5eGobtr4XVgg,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-11-03,Uber 072515 SF**POOL**,Uber,6.33,False
QqMyzDg14jI7vEq98yn7T36PdxLaylFw5na1g,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-10-21,Uber 063015 SF**POOL**,Uber,5.4,False
Z4MRbWDK1ohzva49wMnzcdwKbzQxZ5fe6vb3R,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-10-19,United Airlines,United Airlines,-500.0,False
M84XlDGe3aH734WMnxp7TyQqNpBJEAsLJ57Kx,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-10-18,McDonald's,McDonald's,12.0,False
1RV8JE3jkoIrLMeJwnQrfARpBWqmw3Fp8amzR,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-10-18,Starbucks,Starbucks,4.33,False
LkaXMDy7BdIyBNnmEvLyIalNPKVAxrCkXm975,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-10-17,SparkFun,FUN,89.4,False
pBD4gnp8xrUGAMVWrNRGUygKmV1rnpspZqKwq,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-10-04,Uber 072515 SF**POOL**,Uber,6.33,False
ozDabnNg3KhjmPE6KMbjfjgB16aMyXcodPKjB,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-09-21,Uber 063015 SF**POOL**,Uber,5.4,False
ggXqpWZeyRHBAMnPKgwBIGzZ6nD9BAIExGMoj,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-09-19,United Airlines,United Airlines,-500.0,False
8rmX6EVL1nsv9kJ8AalvFbpKWnQkyrFWbRrnx,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-09-18,McDonald's,McDonald's,12.0,False
EQKX7DExyqhbAoxm8pjbIaEgeW6mPJC4qMEyX,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-09-18,Starbucks,Starbucks,4.33,False
WxMnJDgEQ1hBQDxaW3dBIKlw5G6VbEi6k54R6,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-09-17,SparkFun,FUN,89.4,False
APVX1EbrGDhyJpr3e8ayIQVa6WqlZBu9Qko84,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-09-04,Uber 072515 SF**POOL**,Uber,6.33,False
GMzXwDBalrfXl19PEjeXH3vymAxMwgF65LnaA,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-08-22,Uber 063015 SF**POOL**,Uber,5.4,False
nrDd4n1okqsP49yDqVbPsPg7y64eomtAjXGoG,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-08-20,United Airlines,United Airlines,-500.0,False
bMXnpWQ4AbflAkEeg61lFlJ985ye4ncmXJ3lz,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-08-19,McDonald's,McDonald's,12.0,False
mKDxJnZpzlUNaxoMl3bNcGxKbo4m19IgDlAE9,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-08-19,Starbucks,Starbucks,4.33,False
y7K1dnzxQPfGnREymMpGUVqpE783xlF4zZDGg,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-08-18,SparkFun,FUN,89.4,False
9z7XkENpLbhkg57yJpqkSpvPbnQVmlC4p3ErB,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-08-05,Uber 072515 SF**POOL**,Uber,6.33,False
vNDQBn9zjaHmeJ1pbZ7mIwv417JzNaCqMPXpV,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-07-23,Uber 063015 SF**POOL**,Uber,5.4,False
RKMnBDXLN7UBN4KzqErBI4AkyRMEqJcagLG91,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-07-21,United Airlines,United Airlines,-500.0,False
6q6DXENMZAIe69bkDv8eswmzag3DR8C8Bqx6M,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-07-20,McDonald's,McDonald's,12.0,False
XdGJoWElZLTjZJA4xqmjfv9AmZ5PXBubmrxQ7,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-07-20,Starbucks,Starbucks,4.33,False
DeqXoDj3mlhDevWmJRPDSL91mG8WPNf35rX1K,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-07-19,SparkFun,FUN,89.4,False
V3LJpDG8eMfLepAd89nLTKgz6lRGVBi9BvnaG,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-07-06,Uber 072515 SF**POOL**,Uber,6.33,False
wPlZ3m9B74hp1MoEA4Qpsp8y1gLDJjCPbalGe,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-06-23,Uber 063015 SF**POOL**,Uber,5.4,False
5lb87mGZQWhwnM7bpKkwSAzWaGgKDRF51EpnN,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-06-21,United Airlines,United Airlines,-500.0,False
JpxXkDRPr3HdrNPeqQMdI5zqVpaZJdcBDG5ya,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-06-20,McDonald's,McDonald's,12.0,False
klDBwWj1KVh9xkEQg7e9S9gLJEMwaBiLl38jk,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-06-20,Starbucks,Starbucks,4.33,False
lkD37n5LrwI4dbEABN94C4ezxM7wdXcpV5rqk,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-06-19,SparkFun,FUN,89.4,False
q3DklypEdzfeJPwaZzNesEQvJ6LVM4Sgz5Vj1,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-06-06,Uber 072515 SF**POOL**,Uber,6.33,False
KodXRD9jzxcazNjQEG1aT6NlPkXazKiRxjm9b,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2024-05-24,Uber 063015 SF**POOL**,Uber,5.4,False
